Name,ICAO,IATA,Latitude,Longitude,Type
CHABUA,VECA,,95.118(E),9003 ft,Small
Digri Airstrip,,,87.362(E),,Closed
DIMAPUR,VEMR,DMU,93.771(E),7513 ft,Medium
DIU,,DIU,70.921(E),5980 ft,Small
Sido Kanhu Airport,,,87.270(E),,Small
Dunakonda Airport,VODK,,79.488(E),,Closed
Kazi Nazrul Islam Airport,VEDG,RDP,87.243(E),,Medium
Durgapur Steel Plant Airport,,,87.340(E),,Small
Faizabad Airport,,,82.154(E),,Small
KANGRA,VIGG,DHM,76.263(E),4620 ft,Medium
GORAKHPUR,VEGK,GOP,83.450(E),9000 ft,Medium
GUWAHATI INTL,VEGT,GAU,91.586(E),9000 ft,Medium
GWALIOR,VIGR,GWL,78.228(E),9000 ft,Medium
"Kopal,Hospet Airport",,,76.517(E),,Small
HUBLI,VAHB,HBX,75.085(E),5304 ft,Medium
DUNDIGUL,VODG,,78.403(E),8250 ft,Medium
Rajiv Gandhi International Airport,VOHS,HYD,78.430(E),,Large
HYDERABAD,VOHY,BPM,78.468(E),9025 ft,Medium
IMPHAL,VEIM,IMF,93.897(E),9009 ft,Medium
DEVI AHILYABAI HOLKAR,VAID,IDR,75.801(E),7480 ft,Medium
JAGDALPUR,,JGB,82.037(E),5600 ft,Small
JAIPUR,VIJP,JAI,75.812(E),9177 ft,Medium
HASHIMARA,,,89.369(E),9000 ft,Medium
JAMMU,VIJU,IXJ,74.837(E),6555 ft,Medium
JAMNAGAR,VAJM,JGA,70.013(E),8242 ft,Medium
Jeypore Airport,VEJP,PYB,82.552(E),,Small
JODHPUR,VIJO,JDH,73.049(E),9005 ft,Medium
JORHAT,VEJT,JRH,94.176(E),8875 ft,Medium
Kalyan airstrip,,,73.139(E),,Closed
Kanchrapara Airfield,,,88.460(E),,Closed
KANDLA,VAKE,IXY,70.100(E),4997 ft,Medium
KANPUR CHAKERI,VICX,,80.410(E),8216 ft,Small
CALICUT,VOCL,CCJ,75.955(E),9383 ft,Large
KHAJURAHO,VAKJ,HJR,79.919(E),7460 ft,Medium
Khandwa Airport,,,76.337(E),,Small
Khowai Airport,VEKW,IXN,91.604(E),,Small
COCHIN,VOCC,,76.273(E),5620 ft,Small
NETAJI SUBHASH CHANDRA BOSE INTL,VECC,CCU,88.447(E),11900 ft,Large
Koppal Aerodrome,VOKP,,76.219(E),,Small
KOTA,VIKO,KTU,75.846(E),4078 ft,Medium
SILCHAR,VEKU,IXS,92.979(E),5993 ft,Medium
Lalitpur Airport,VILP,,78.417(E),,Small
MUROD KOND,,,76.465(E),5260 ft,Medium
LUCKNOW,VILK,LKO,80.889(E),8996 ft,Medium
BAKSHI KA TALAB,VIBL,,80.893(E),8990 ft,Small
Shibpur Airstrip,,,93.050(E),,Small
CHENNAI INTL,VOMM,MAA,80.181(E),12001 ft,Large
MADURAI,VOMD,IXM,78.093(E),5990 ft,Medium
Malda Airport,VEMH,LDA,88.133(E),,Small
MANGALORE,VOML,IXE,74.890(E),5300 ft,Medium
BOKARO,VEBK,,86.149(E),5300 ft,Small
Juhu Aerodrome,VAJJ,,72.834(E),,Small
CHHATRAPATI SHIVAJI INTL,VABB,BOM,72.868(E),10837 ft,Large
Mysore Airport,VOMY,MYQ,76.650(E),,Small
DR AMBEDKAR INTL,VANP,NAG,79.047(E),10500 ft,Medium
NANDER,,NDC,77.318(E),4510 ft,Medium
NASIK ROAD,VANR,,73.808(E),4520 ft,Closed
NAWAPARA,VENP,,82.520(E),3380 ft,Small
Neyveli Airport,,NVY,79.527(E),,Small
LILABARI,VELR,IXI,94.098(E),7500 ft,Medium
Osmanabad Airport,,OMN,76.057(E),,Small
PANTNAGAR,VIPT,PGH,79.474(E),3600 ft,Medium
Pasighat Airport,VEPG,IXT,95.336(E),,Small
PATNA,VEPT,PAT,85.088(E),5970 ft,Medium
Poonch Airport,,,74.084(E),,Small
PORBANDAR,VAPR,PBD,69.657(E),4500 ft,Medium
PORT BLAIR,VOPB,IXZ,92.730(E),10795 ft,Medium
