Name,ICAO,IATA,Latitude,Longitude,Type
Bagdogra Airport,VEBD,IXB,26.6812,88.328598,large_airport
Balurghat Airport,VEBG,RGH,25.2617,88.795601,small_airport
Shillong Airport,VEBI,SHL,25.70359992980957,91.97869873046876,medium_airport
Bokaro Airport,VEBK,,23.643499,86.148903,small_airport
Berhampur Rangeilunda Airport,VEBM,,19.2975,84.876944,small_airport
Lal Bahadur Shastri International Airport,VEBN,VNS,25.452171,82.862549,large_airport
Biju Patnaik International Airport,VEBS,BBI,20.251021,85.814747,large_airport
Bilaspur Airport,VEBU,PAB,21.9884,82.111,medium_airport
Chabua Air Force Station,VECA,,27.4622,95.117699,small_airport
Netaji Subhash Chandra Bose International Airport,VECC,CCU,22.654012,88.44765,large_airport
Chakulia Airport,VECK,,22.463625,86.705219,small_airport
Cooch Behar Airport,VECO,COH,26.3305,89.467201,small_airport
Chitrakoot Airport,VECT,CWK,25.167694,80.9358,small_airport
Dhanbad Airport,VEDB,DBD,23.834,86.425301,medium_airport
Kazi Nazrul Islam Airport,VEDG,RDP,23.6225,87.243,medium_airport
Darbhanga Airport,VEDH,DBR,26.192801,85.916901,medium_airport
Deoghar Airport,VEDO,DGH,24.446842,86.704955,small_airport
Kharagpur Airport / Kalaikunda Air Force Station,VEDX,,22.3395,87.2145,small_airport
Daporijo Airport,VEDZ,DEP,27.9855003357,94.22280120850002,small_airport
Gorakhpur Airport,VEGK,GOP,26.7397003174,83.4496994019,medium_airport
Lokpriya Gopinath Bordoloi International Airport,VEGT,GAU,26.106654,91.585226,large_airport
Gaya Airport,VEGY,GAY,24.744301,84.951202,medium_airport
Hirakud Airport,VEHK,,21.5802,84.005699,small_airport
Hashimara Air Force Station,VEHX,,26.698299,89.369102,medium_airport
Bir Tikendrajit International Airport,VEIM,IMF,24.76,93.896698,large_airport
Jharsuguda Airport,VEJH,JRG,21.9135,84.0504,small_airport
Jeypore Airport,VEJP,PYB,18.879549,82.552478,small_airport
Sonari Airport,VEJS,IXW,22.813706,86.168981,medium_airport
Jorhat Airport,VEJT,JRH,26.730456,94.175416,medium_airport
Kishanganj Airport,VEKG,,26.075836,87.93965,small_airport
Kushinagar International Airport,VEKI,KBK,26.776534,83.889214,medium_airport
Kendujhar Airport,VEKJ,,21.696667,85.581667,small_airport
Kamalpur Airport,VEKM,IXQ,24.134325,91.810769,small_airport
Kailashahar Airport,VEKR,IXH,24.308657,92.00768,medium_airport
Silchar Airport,VEKU,IXS,24.9129009247,92.9786987305,medium_airport
Khowai Airport,VEKW,IXN,24.061899,91.603897,small_airport
Lengpui Airport,VELP,AJL,23.840599,92.619698,medium_airport
Lilabari North Lakhimpur Airport,VELR,IXI,27.295682,94.097266,medium_airport
Malda Airport,VEMH,LDA,25.01018,88.126917,small_airport
Dibrugarh Airport,VEMN,DIB,27.4839000702,95.0168991089,medium_airport
Dimapur Airport,VEMR,DMU,25.8838996887,93.7711029053,medium_airport
Muzaffarpur Airport,VEMZ,MZU,26.119101,85.313698,medium_airport
Nawapara Airport,VENP,,20.870001,82.5196,small_airport
Pasighat Airport,VEPG,IXT,28.064786,95.336952,small_airport
Panagarh Air Force Station,VEPH,,23.4743003845,87.4274978638,medium_airport
Barrackpore Air Force Station,VEPI,,22.7810001373,88.3591995239,small_airport
Jay Prakash Narayan Airport,VEPT,PAT,25.591299,85.087997,medium_airport
Purnea Airport,VEPU,,25.759599685668945,87.41000366210938,small_airport
Birsa Munda Airport,VERC,IXR,23.314300537100003,85.3217010498,medium_airport
Rourkela Airport,VERK,RRK,22.256571,84.815193,medium_airport
Raxaul Airport,VERL,,26.9667,84.833298,small_airport
Rupsi Airport,VERU,RUP,26.141867,89.907892,small_airport
Tezu Airport,VETJ,TEI,27.9412002563,96.1343994141,small_airport
Tezpur Airport,VETZ,TEZ,26.7091007232666,92.78469848632812,medium_airport
Utkela Airport,VEUK,UKE,20.097778,83.183333,medium_airport
Visakhapatnam International Airport,VEVZ,VTZ,17.723506,83.227729,large_airport
Ziro Airport,VEZO,ZER,27.588301,93.828102,medium_airport
Saifai Airport,VI00,,26.9202,79.06277,small_airport
Narnaul Airport,VI20,,28.077101,76.205002,small_airport
Karnal Airport,VI40,,29.714663,77.037438,small_airport
Suratgarh New Airport,VI43,,29.387800216674805,73.90390014648438,small_airport
Thoise Airport,VI57,,34.652599,77.375801,small_airport
Kargil Airport,VI65,,34.5243,76.155899,small_airport
Fukche Advanced Landing Ground,VI66,,32.937401,79.213203,small_airport
Jhunjhunu Airport,VI69,,28.1067008972168,75.37560272216797,small_airport
Pilani New Airport,VI70,,28.348800659179688,75.59369659423828,small_airport
Pinjore Airfield and Flying Club,VI71,,30.82457,76.883652,small_airport
Nagaur Airport,VI73,,27.20829963684082,73.7114028930664,small_airport
IIT Kanpur Airport,VI75,,26.520399,80.232904,small_airport
Band Tal Airport,VI76,,26.000099182128903,78.26180267333984,small_airport
Maa Ganga Airport Uttarkashi,VI82,,30.582583,78.323164,small_airport
Beas Airport,VI88,,31.559999,75.341301,small_airport
Akbarpur Mahamaya Rajkiya Airport,VI90,,26.447599,82.568199,small_airport
Agra Airport / Agra Air Force Station,VIAG,AGR,27.157975,77.961025,medium_airport
Aligarh Airport,VIAH,HRH,27.861437,78.145404,small_airport
Prayagraj Airport,VIAL,IXD,25.4401,81.733902,medium_airport
Ambala Air Force Station,VIAM,,30.368099,76.816704,medium_airport
Sri Guru Ram Das Ji International Airport,VIAR,ATQ,31.7096,74.797302,large_airport
Awantipura Air Force Station,VIAW,,33.876598,74.9757,small_airport
Adampur Airport,VIAX,AIP,31.4338,75.758797,small_airport
Nal Airport,VIBK,BKB,28.070601,73.207199,medium_airport
Bakshi Ka Talab Air Force Station,VIBL,,26.9883,80.893097,small_airport
Kullu Manali Airport,VIBR,KUU,31.876699,77.154404,medium_airport
Bhatinda Air Force Station,VIBT,BUP,30.2701,74.755798,medium_airport
Bhiwani Airport,VIBW,,28.837,76.1791,small_airport
Bareilly Air Force Station,VIBY,BEK,28.4221,79.450798,medium_airport
Shaheed Bhagat Singh International Airport,VICG,IXC,30.6735,76.788498,large_airport
Kanpur Airport,VICX,KNU,26.404301,80.410103,medium_airport
Safdarjung Airport,VIDD,,28.585453,77.203563,medium_airport
Pithoragarh Airport,VIDF,,29.593599,80.239197,small_airport
Dehradun Jolly Grant Airport,VIDN,DED,30.189243,78.176651,medium_airport
Indira Gandhi International Airport,VIDP,DEL,28.55563,77.09519,large_airport
Hindon Airport / Hindon Air Force Station,VIDX,HDO,28.707701,77.358902,small_airport
Kangra Airport,VIGG,DHM,32.164902,76.263018,medium_airport
Gwalior Airport,VIGR,GWL,26.29330062866211,78.22779846191406,medium_airport
Maharaja Agrasen International Airport,VIHR,HSS,29.186065,75.74142,large_airport
Halwara International Airport,VIHX,HWR,30.748501,75.629799,large_airport
Jhansi Airport,VIJN,,25.491199,78.558403,small_airport
Jodhpur Airport,VIJO,JDH,26.251100540161133,73.04889678955078,medium_airport
Jaipur International Airport,VIJP,JAI,26.8242,75.812202,large_airport
Jaisalmer Airport,VIJR,JSA,26.8887,70.864998,medium_airport
Jammu Airport,VIJU,IXJ,32.688849,74.838152,medium_airport
Kanpur Civil Airport (Old),VIKA,,26.440857,80.365029,small_airport
Kishangarh Airport Ajmer,VIKG,KQH,26.591007,74.812956,medium_airport
Kota Airport,VIKO,KTU,25.160200119,75.84559631350001,medium_airport
